"title","subtitle","place","period","publisher","periodicity","language"
"A Campanha","orgão de interesses populares","Maranhão","1902-1904","[s.n.]","","por"
"Campeao Brazileiro","periodico mensal politico, historico e literario","Bahia [Salvador, BA]","1830","Typ. d'A Folha Nova","","por"
"Campeao Lusitano","","Rio de Janeiro, RJ","1882-1892","[s.n.]","","por"
"O Campeao Portuguez em Lisboa, ou O Amigo do Povo e do Rei Constitucional","Semanario politico, publicado para advogar a causa e interesses da nacao portugueza em ambos os mundos, e servir de continuacao ao Campeao Portuguez em Londres","Lisboa [Portugal]","1822-1823","Typ. Rollandiana","Semanal","por"
"O Campeao Portuguez, ou O Amigo so Rei e do Povo","","Londres [Inglaterra]","1819-1821","L. Thompson","2 vezes por mês","por"
"O Campeao","folha imparcial, noticiosa e commercial","Tijucas Grande [Tijucas, SC]","1885-1886","Typ. do campeao","Desconhecida","por"
"O Camponez","semanario para defesa das classes agrarias","Urussanga, SC","1932","","Desconhecida","por"
"Campos Geraes","orgam republicano litterario dedicado aos interesses do municipio de Campos Geraes","Campos Gerais, MG","1907","","Desconhecida",""
"Canal Novo","órgão de divulgação do conjunto educacional Pedro II","Blumenau, SC","1989","","","por"
"O Canoinhas","","Canoinhas, SC","1909","[s.n.]","","por"
"O Cansanção","jornal para todos","[S.l.]","1878","[s.n.]","Desconhecida","por"
"O Caolho","","Rio de Janeiro, RJ","1833","Typ. Paraguassu, de D. da F. Pinto","Desconhecida","por"
"O Capadocio","","Rio de Janeiro, RJ","1835","Typ. Fluminense","Desconhecida","por"
"Capital paulista","revista mensal de artes e lettras","São Paulo","1899 a 1902","","Desconhecida","por"
"Capivary","","Capivari, SP","1876-","Typ. do Capivari","Semanal","por"
"O Cara Dura","jornal dedicado ao Demi-Monde","Rio de Janeiro, RJ","1883-","[s.n.]","3 vezes por semana","por"
"O Caramuru","o imperador, e a constituição jurada","Rio de Janeiro, RJ","1832-1833","Typ.do Diario","Irregular","por"
"Carangola-Cades","","Carangola, MG","1961","","Desconhecida",""
"A Carapuça","periodico satyrico, noticioso, joco-serio","Maceió, AL","","","Desconhecida","por"
"O Carapuceiro","periodico sempre moral e so por accidens politico","Recife, PE","1832-","Typ. Fidedigna","2 vezes por semana","por"
"Carbonario : orgao do povo","","Rio de Janeiro, RJ","1881-","Typ.do Carbonario","","por"
"O Careca","","Itajaí, SC","1931","","","por"
"O Careca","jornal critico e noticioso","Fortaleza","1871-1872","Typ. Americana","Semanal","por"
"Careta","","Rio de Janeiro, RJ","1908-[1983?]","Kosmos","","por"
"Caridade","","Belém, PA","1893","Typ. de Tavares Cardoso e Comp","","por"
"Caridade","jornal mensal de propaganda espirita","Florianópolis, SC","1921","","","por"
"A Caridade","numero unico em beneficio da sociedade beneficiente portugueza","Manaos [Manaus, AM]","1893","Typ. do Diario Official","Indeterminada","por"
"Carioca","","Rio de Janeiro, RJ","","","Desconhecida","por"
"O Carpinteiro Joze","","Rio de Janeiro, RJ","1833","Typ. Fluminense de Brito","Desconhecida","por"
"O Carranca","","Rio de Janeiro, RJ","","","Desconhecida","por"
"Carris-Litterarios","viagens pilhericas, recreativas e humoristicas","Vassouras, RJ","1882-","Typ. do Vassourense","2 veses por mês","por"
"Carta ","Do cirurgião Manoel Gomes da Silva ao Bacharel Guilherme José Correa","Porto Alegre, RS","1835","","Indeterminada","por"
"Carta de Lei","","Rio de Janeiro, RJ","1827","[s.n]","","por"
"Cartão postal","","Curitiba, PR","1905","[s.n.]","","por"
"Cartas","a cerca da provincia de Santa Catharina","Desterro [Florianópolis, SC]","1857-1858","Typ. de Jose Joaquim Lopes","Desconhecida","por"
"Cartas Fluminenses","","Rio de Janeiro, RJ","1858-","Typ. de Paula Brito","Semanal","por"
"A Cartilha do Povo : jornal politico, litterário e noticioso","","Rio de Janeiro, RJ","1859","Typ. Americana, de Jose Soares de Pinho","Semanal","por"
"Casa Branca","semanario imparcial","São Paulo, SP","1877-1879","Typ. da Casa Branca","Semanal","por"
"Casamentos Alemães","","Blumenau, SC","1900 - 1985","","Indeterminada","por"
"O Cascalho","jornal politico joco-serio","Rio de Janeiro, RJ","1849-","Typographia Liberal de F.I.S. Ramalho","Desconhecida","Texto em português"
"Casimiro de Abreu","orgão do Club Litterario do mesmo nome","Maceió, AL","1884-","Typ. de Mello Rocha","Mensal","por"
"Cassandra","","Rio de Janeiro, RJ","1874","[s.n.]","Desconhecida","por"
"Castro Alves","jornal commemorativo-Collegio Abilio","Rio de Janeiro, RJ","1903","Typ. d'A Gazeta de Noticias","Número único","por"
"Castro Alves","orgao do Club Litterario e Abolicionista do mesmo nome","Maceió, AL","1884","Typ. de Amintas de Mendonça","Trimestral","por"
"Cataguazes ","orgao oficial dos poderes municipais","Cataguazes [Cataguases, MG]","1953-1965","","Desconhecida",""
"O Catão","","Rio de Janeiro, RJ","1832-","Typ.do Diario","2 vezes por semana","por"
"O Catharinense","","São Bento","1911","","","por"
"Catuaba","","Fortaleza, CE","1890","[s.n.]","Desconhecida","por"
"O Catuca","viva a constituinte","Rio de Janeiro, RJ","1849-","Typ. de M.G. de S. Rego","Desconhecida","por"
"Caturra","periodico humoristico e noticioso","Laguna, SC","1884","","Desconhecida","por"
"Caxias - Jornal","orgam dos interesses da região nordeste","Caxias do Sul, RS","1933 a 1934","","Semanal","por"
"O Caxiense","defensor das colonias italianas e orgam republicano","Santa Thereza de Caxias [Caxias do Sul, RS]","1897-","[s.n.]","Quinzenal","por"
"Ceara","orgao do partido republicano democratico","Fortaleza, CE","1895-","[s.n.]","Desconhecida","por"
"O Ceará Illustrado","revista artistica, litteraria e scientifica","Fortaleza","","","Desconhecida","por"
"O Ceara Moleque","revista caricata","Fortaleza","1897","Typ. do Ceara Moleque","4 vezes por mes","por"
"O Ceara","","Fortaleza","1928","[s.n.]","Desconhecida","por"
"O Ceará","jornal neutro entre os partidos","[S.l.]","1888","[s.n.]","Semanal","por"
"Cenaculo : periodico litterario","","São Paulo, SP","1898","[s.n.]","","por"
"Cenaculo","","Curitiba, PR","1895-1897","[s.n.]","","por"
"Cenaculo","periodico biographico, bibliographico, scientifico, pedagogico, litterario, critico e noticioso","Belém, PA","1900","C. Wiegandt","Mensal (Edicao especial)","por"
"Cenáculo","revista literaria, fasc. 3, anno 1, agosto","Belém, PA","1900","Estab. Graph. C. Wiegandt","","por"
"O Censor Brasileiro","","Rio de Janeiro, RJ","1828-","Typ. Imperial, de P. Plancher-Seignot","2 vezes por semana","por"
"Centenario do Bom Jesus do Monte","Numero Unico Dedicado a Commissao Dos Festejos que se realisam em Braga nos dias 30 e 31 de maio e 1 e 2 de junho","Lisboa [Portugal]","","","Número único","por"
"O Centenario","revista commemorativa do primeiro centenario da Independencia","Palmeira, RS","","","Desconhecida","por"
"Centro Academico","","Rio de Janeiro, RJ","1872-","","Semanal","por"
"Centro Caixeiral : orgao da Sociedade Centro Caixeral","","Maranhão [MA]","1891-","Typ. de A.P. Ramos d'Almeida","Anual","por"
"Centro Cearense","","Fortaleza","","","Trimestral","por"
"Centro Tecnico dos Eletricistas Brasileiros","","Rio de Janeiro, RJ","1889","Typ. Penna de Ouro","Mensal","por"
"Chacaras e quintais","","São Paulo","1910-1970","Casa Editora de Publicacoes Agrícolas Brasileiras","Mensal","Português"
"Chaleira","orgao litterario e criticador da mocidade","Florianópolis, SC","","","Desconhecida","por"
"Chapada do Corisco","letras, sciencias, humorismo","Teresina, PI","1918","[s.n.]","Quinzenal","por"
"O Chapeco","orgam independente consagrado aos interesses do municipio","Passo Bor Mann","1918","[s.n.]","Desconhecida","por"
"Charivari Nacional","","Rio de Janeiro, RJ","1859-1862","[s.n.]","","por"
"O Charutinho","jornal amolecado","Fortaleza, CE","1900-","[s.n.]","Desconhecida","por"
"Charuto : orgam do povo","","Fortaleza, CE","1889-1904","Typ. do Charuto","Semanal","por"
"O Chaveco","jornal critico, humoristico e noticioso","Florianópolis, SC","1933","[s.n.]","","por"
"O Cherubim","dedicado ao bello sexo","","","","Desconhecida","por"
"Chibata","nós somos judas da raça, quem serão os christos?","São Paulo, SP","1932","","Indeterminada",""
"O Chicote","","Tubarão, SC","1902","Typ. Gabinete Sul do Estado","Desconhecida","por"
"Echo Cuiabano","","Cuiabá, MT","1850-","Typ. Echo Cuiabano","Semanal","por"
"Echo da Camara dos Deputados","","Rio de Janeiro, RJ","1832-","Typ. de Gueffier e C.","","por"
"Echo Feirense","periodico noticioso e litterario","Feira de Santana, BA","1878-","[s.n.]","Desconhecida","por"
"Echo Liberal","orgao politico e noticioso","Caxias, MA","1884-","Typ. de Vicente de Paula","","por"
"Chronica de Porto Alegre","","Porto Alegre, RS","1852","Typ. Mercantil","Desconhecida",""
"Chronica do Foro","revista de jurisprudencia e debates judiciais","Rio de Janeiro, RJ","[1859-1861]","Typ. Americana de Jose Soares de Pinho","2 vezes por mês","por"
"Chronica Fluminense","","Rio de Janeiro, RJ","1865-","Typ. de N. Lobo Vianna e Filhos","","por"
"Chronica Litteraria : jornal de instruccao e recreio","","Rio de Janeiro, RJ","1848-","Typ. Guanabarense de L.A.F. de Menezes","Semanal","por"
"Chronica Maranhense","","São Luis, MA","1838-1841","Typ. de I. Jose Ferreira","2 vezes por semana","por"
"Chronica Nacional","","Rio de Janeiro, RJ","1842-1889","Typ. Laemmert","Desconhecida","por"
"Chronica religiosa","periodico consagrado aos interesses da religiao","Bahia [Salvador, BA]","1869-","Typ. Americana","Semanal","por"
"Chronica Semanal","noticia, litteratura, critica, politica","Recife, PE","1883","[s.n.]","Semanal","por"
"Chrysalida : folha litteraria, critica e recreativa","","Rio de Janeiro, RJ","1884","[s.n.]","Semanal","por"
"Chrysalida","","Caxias, MA","1884-","Typ. do Commercio de Caxias","Mensal","por"
"Chrysalida","folha litteraria, critica e theatral","Rio de Janeiro, RJ","1873-","Typ. Fluminense","","por"
"Chrysalida","jornal do collegio Santa Thereza","Rio de Janeiro, RJ","1887-","Typ. da Chrysalida","Quinzenal","por"
"Chrysalida","jornal scientifico, litterario e critico","Rio de Janeiro, RJ","1867-","Typ. de Domingos Luiz dos Santos","4 vezes por mes","por"
"Chrysalida","orgam do club litterario mineiro","Ouro Preto, MG","1887","","Quinzenal",""
"A Chrysalida","hebdomadario litterario","Vitória","1892-","Typ. do Estado","Semanal","por"
"A Chrysalida","jornal scientifico litterario e noticioso","São Paulo, SP","1869-","Typ. do Ypiranga","2 vezes por semana","por"
"A Chrysalida","orgam recreativo do Collegio Nogueira da Gama","Jacarehy [Jacareí, SP]","1897","","Desconhecida","por"
"A Chrysalis","","Rio de Janeiro, RJ","1900-","[s.n.]","Semanal","por"
"O Cicerone","guia geral das Estradas de Ferro e da Capital Federal","Rio de Janeiro, RJ","[1909]","","","por"
"Cicuta","boletim oficial dos quatro justos","Florianópolis, SC","1947","","Desconhecida",""
"O Cidadao Soldado","","Rio de Janeiro, RJ","1833","Typ. Americana de I. P. da Costa","Desconhecida","por"
"O Cidadão","","Vitória","1868","Typ. do Cidadao","Semanal","por"
"O Cidadão","liberdade e ordem","Rio de Janeiro, RJ","1849-","[s.n.]","Desconhecida","por"
"Cidade da Feira","","Feira de Santana, BA","1888","[s.n.]","Desconhecida","por"
"Cidade da Vigia","","Vigia [Vigia de Nazaré, PA]","1890-1893","Typ. da Cidade da Vigia","","por"
"Cidade de Amarante","jornal independente, noticioso e politico","Amarante, PI","1922","[s.n.]","Desconhecida","por"
"Cidade de Blumenau","","Blumenau, SC","1934","","2 vezes por semana","por"
"Cidade de Braganca","orgam politico, noticioso, commercial e litterario","Braganca, PA","1894-1899","Typ. do Cidade de Braganca","Semanal","por"
"Cidade de Caldas","folha popular","Caldas, MG","[1891]-","[s.n.]","Semanal","por"
"Cidade de Caxias : orgam republicano","","Caxias do Sul, RS","1911-1912","[s.n.]","Semanal","por"
"Cidade de Goaiz","","Goiás, GO","1938-1960","","",""
"Cidade de Lavras","","Lavras, MG","1895 - 1897","","",""
"Cidade de Manhuassú ","orgam do partido republicano mineiro do municipio","Manhuaçu, MG","1923","","Semanal",""
"Cidade de Patos","","Patos de Minas, MG","1917","[s.n]","","por"
"Cidade de Petropolis","","Petrópolis, RJ","1902","[s.n.]","2 vezes por semana","por"
"Cidade de Pouso Alegre","","Pouso Alegre, MG","1906","","Varia",""
"Cidade de Prados","","Prados, MG","1902","","",""
"Cidade de Santos","","Santos, SP","1967 - 1987","","Diária","por"
"Cidade de Uberaba","orgam republicano constitucinal","Uberaba, MG","1895","","Desconhecida",""
"Cidade do Bomfim","orgam dos interesses do povo","Bomfim [Bonfim, MG]","1898-1936","","Semanal",""
"Cidade do Fructal","","Frutal, MG","1915","","Desconhecida",""
"Cidade do Patrocinio","orgão dedicado aos interesses do povo","Patrocínio, MG","1911-1916","","Desconhecida",""
"Cidade do Prata","","Minas Gerais","1911-1919","","Semanal",""
"Cidade do Pyranga","orgam do partido republicano mineiro","Piranga","1918","","Desconhecida",""
"Cidade do Rio Grande","orgam do Partido Republicano","Rio Grande, RS","1896","","Diária",""
"Cidade do Salvador","","Salvador, BA","1897 - 1899","","","por"
"Cidade Verde","folha litteraria","Teresina, PI","1912","[s.n.]","Desconhecida","por"
"Ciencia e cultura","orgão da Sociedade Brasileira para o Progresso da Ciencia","São Paulo, SP","1949-","SBPC","Mensal","por"
"Ciência para todos : suplemento de A Manha","","Rio de Janeiro, RJ","","","","por"
"Ciencia Politica","","Rio de Janeiro, RJ","1940-1945","[s.n.]","","por"
"Cinco de Janeiro","orgao do partido liberal do Amazonas","Manaus, AM","1879-1880","Typ. do Amazonas, de J. Carneiro dos Santos","Semanal","por"
"O Cinco de Janeiro","periodico liberal","Guaratinguetá, SP","1878","[s.n.]","Desconhecida","por"
"Cinco d'Outubro","","Manaus, AM","1911","","Indeterminada",""
"Cine reporter","semanario cinematografico","São Paulo, SP","1934 - [1966]","","Semanal","por"
"Cine revista","mensario cinematographico","São Paulo, SP","1940","Empreza Cine Revista Limitada","Mensal",""
"Cinearte","","Rio de Janeiro, RJ","1926-1942","","","por"
"Cinegrama","","Santa Maria, RS","1951","Typ. Livraria do Globo S.A.","",""
"Cine-Jornal","","Campinas, SP","1922","Typ. Casa Mascote","Semanal","por"
"Cinelândia","","Rio de Janeiro, RJ","1952-1967","","Mensal",""
"Cine-Luz","","Pelotas, RS","1932","","Desconhecida",""
"Cinema","revista de propaganda cinematographica dedicada as gentis frequentadoras","Recife, PE","1925","","Desconhecida",""
"Cinema Pathé","jornal de litteratura, artes e noticias","Recife, PE","1919","","Desconhecida",""
"O Cinema","orgao da empreza Moura e CIA","Florianópolis, SC","1922","","Desconhecida","por"
"O Cinematographo","semanario humoristico, critico e literario","Joinville, SC","1920-1921","[s.n.]","Semanal","por"
"Cine-Modearte","","São Paulo, SP","1928","Empreza Lilla-Editora Internacional","Desconhecida",""
"Cine-semana","orgam da empresa cinematographica Victor Bush","Santa Catarina","1928","","Semanal","por"
"Cine-Theatro","orgao de propaganda da empreza cinematographica M.Cruz","Tijucas, SC","1929-1931","Typ. Santa Cruz","Desconhecida","por"
"Cine-Theatro","revista quinzenal illustrada","Porto Alegre, RS","1920","","Quinzenal",""
"A Circular","boletim annual da Primeira Igreja Baptista do Rio de Janeiro","Rio de Janeiro, RJ","1936","A Igreja","Anual","por"
"Citta di Caxias","Periodico settimanale d'interesse coloniale","Caxias do Sul, RS","","","","por"
"Civilisacao","periodico hebdomadario, orgao dos interesses catholicos","Maranhão [MA]","1880-","Typ. da Civilisacao","","por"
"Civilisacao","periodico hebdomadario, orgão dos interesses catholicos","Maranhão","1880-","Typ. da Civilisacao","Semanal","por"
"Civilização","","Campo Grande, MS","1934","","Trimestral","por"
"O Clamor do Povo","orgao independente","Florianópolis, SC","1916","","Desconhecida","por"
"Clamor Publico : jornal politico, industrial e litterario","","Rio de Janeiro, RJ","1860-1861","[s.n.]","","por"
"Clamor Publico : jornal politico, industrial e litterario","","Rio de Janeiro, RJ","1857-","Typ. Americana","Desconhecida","por"
"O Clamor","orgam independente","Florianópolis, SC","1917","[s.n.]","Desconhecida","por"
"O Clarao","","Florianópolis, SC","1911-","","Desconhecida","por"
"Clarim","litterario e humoristico","Joinville, SC","1920","","Desconhecida","por"
"Clarim","orgam dos interesses da provincia, litterario e noticioso","Desterro [Florianópolis, SC]","1886-1887","Typ. da Regeneraçao","Desconhecida","por"
"O Clarim da Liberdade","","Aracatí, CE","1833","Typ. Jaguaribana","Desconhecida","por"
"Clarim da Monarchia : folha politica e litteraria","","São Luis, MA","1861-","Typ. Conservador","Irregular","por"
"O Clarim dos Theatros","publicação critica","Rio de Janeiro, RJ","1851","Typ. Franceza","Desconhecida","por"
"O Clarim","semanario independente, critico, noticioso","Joinville, SC","1932","","Semanal","por"
